id,brand,base_model,model_mode,year,condition,mileage_km,has_aftermarket_mods,body_type,seats,doors,drivetrain,origin,exterior_color,city,seller_name,post_date,website,price_vnd
0,VinFast,VF8,VF8 Plus AWD,2023.0,Used,50000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,Trung Tâm Mua Bán Trao Đổi Xe Cũ Phan Trọng Tuệ,2026-06-22,bonbanh.com,650000000.0
1,VinFast,VF8,VF8 Eco,2026.0,New,0.0,False,SUV,6.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,Khánh Vũ,2026-06-22,bonbanh.com,1399000000.0
2,VinFast,VF8,VF8 Plus AWD,2023.0,Used,99000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,GF Thường Tín,2026-06-22,bonbanh.com,829000000.0
3,VinFast,VF8,VF8 Eco AWD,2023.0,New,0.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Vinfast Bát Tràng,2026-06-22,bonbanh.com,629000000.0
4,VinFast,VF5,VF5 Plus,2024.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Hà Nội,Vinfast Times City,2026-06-22,bonbanh.com,592000000.0
5,VinFast,VF8,VF8 Plus AWD,2023.0,Used,62000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Bạc,Ninh Bình,Showroom GF Ninh Bình,2026-06-22,bonbanh.com,669000000.0
6,VinFast,VF8,VF8 Eco AWD,2023.0,New,48950.0,False,MPV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xám,Hà Nội,Mr Thịnh,2026-06-22,bonbanh.com,699000000.0
7,VinFast,VF5,VF5 Plus,2025.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đen,Hà Nội,Vinfast Times City,2026-06-22,bonbanh.com,758000000.0
8,Mercedes-Benz,EQS,EQS 450 Plus,2023.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Trắng,Hà Nội,Vinfast Thăng Long,2026-06-22,bonbanh.com,245000000.0
9,VinFast,VF8,VF8 Eco AWD,2023.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Xám,KCN Cát Lái TP HCM,Vinfast Minh Thanh Thủ Đức,2026-06-22,bonbanh.com,296000000.0
10,VinFast,VF8,VF8 Plus AWD,2023.0,Used,47000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Nguyễn Đức Trọng,2026-06-22,bonbanh.com,395000000.0
11,VinFast,VF8,VF8 Plus AWD,2026.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Vinfast Tràng An Đống Đa,2026-06-22,bonbanh.com,592000000.0
12,VinFast,VF8,VF8 Plus AWD,2023.0,Used,15000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Trắng,Hà Nội,GF Phương Đông - Bát Tràng,2026-06-22,bonbanh.com,226000000.0
13,VinFast,VF8,VF8 Plus AWD,2023.0,Used,120000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xanh,Quốc lộ 1A Thôn Hoàng Thượng Phường Tam Thanh Tỉnh Lạng Sơn Lạng Sơn,Auto Thắng Lợi,2026-06-22,bonbanh.com,370000000.0
14,VinFast,VF3,VF3 Plus,2026.0,Used,47000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,GF Hoàng Quốc Việt,2026-06-22,bonbanh.com,661000000.0
15,VinFast,VF8,VF8 Eco AWD,2023.0,New,64000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Hà Nội,Vinfast Times City,2026-06-22,bonbanh.com,640000000.0
16,VinFast,VF8,VF8 Plus AWD,2023.0,New,47000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xanh,Hà Nội,Khánh Vũ,2026-06-22,bonbanh.com,439000000.0
17,VinFast,VF6,VF6 Plus,2025.0,New,20000.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Bạc,Hà Nội,Vinfast Newway Hoài Đức,2026-06-22,bonbanh.com,616000000.0
18,VinFast,VF e34,VF e34 AT,2022.0,Used,35000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Bạc,627 Mê Linh - Khai Quang - Vĩnh Yên Vĩnh Phúc,Zin Auto,2026-06-22,bonbanh.com,835000000.0
19,VinFast,VF8,VF8 Eco AWD,2022.0,Used,60000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Vàng,phường Nông Trang Phú Thọ,GF Phú Thọ,2026-06-22,bonbanh.com,246000000.0
20,VinFast,VF8,VF8 Eco AWD,2023.0,Used,2000.0,False,Sedan,5.0,4.0,RFD - Dẫn động cầu sau,Nhập khẩu,Đen,Q.7 TP HCM,Phát Đạt Luxury Car,2026-06-22,bonbanh.com,2999000000.0
21,Bestune,Xiaoma,Xiaoma,2026.0,New,0.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Vinfast Thăng Long,2026-06-22,bonbanh.com,610000000.0
22,Ford,Mustang Mach-E,Mustang Mach-E Premium AWD,2025.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xanh,Hà Nội,Vinfast Ngọc Hồi,2026-06-22,bonbanh.com,439000000.0
23,VinFast,VF6,VF6 Plus,2026.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Đen,Thủ Đức TP HCM,Vinfast D1 Đồng Văn Cống,2026-06-22,bonbanh.com,269000000.0
24,VinFast,VF5,VF5 Plus,2025.0,New,36000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xám,Tp.Thủ Đức TP HCM,Vinfast Đông Sài Gòn,2026-06-22,bonbanh.com,750000000.0
25,VinFast,VF7,VF7 Eco,2025.0,Used,18000.0,False,MPV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,KCS 86 Auto,2026-06-22,bonbanh.com,695000000.0
26,VinFast,Limo Green,Limo Green AT,2025.0,Used,19000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Trắng,Hiệp Bình TP HCM,H2T AUTO,2026-06-22,bonbanh.com,355000000.0
27,VinFast,VF5,VF5 Plus,2025.0,New,10800.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Xanh,Hà Nội,Vinfast Times City,2026-06-22,bonbanh.com,287000000.0
28,VinFast,VF8,VF8 Plus AWD,2023.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đen,Hà Nội,Mr Thịnh,2026-06-22,bonbanh.com,789000000.0
29,VinFast,VF6,VF6 Plus,2026.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Đen,Hà Nội,Vinfast Tràng An Lê Văn Lương,2026-06-22,bonbanh.com,250000000.0
