id,reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods,vehicle_type
0,"Màu đen lịch lãm, bản Plus full option, vận hành êm ái, pin khỏe",,,,,Đã qua sử dụng,Mua pin,,True,
1,"2026, mới 100%",,VF8 Eco,2026.0,0.0,Mới 100%,Mua pin,,True,
2,"Màu đen lịch lãm – càng nhìn càng sang, Bản Plus full option, Vận hành êm ái, pin khỏe",,VF8 Plus AWD,2023.0,0.0,Mới 100%,,,True,
3,"giảm 70 triệu khi đổi xăng sang điện, tặng 50 triệu tiền mặt, miễn phí bảo hiểm thân vỏ, không đâm đụng, không ngập nước, không bổ máy, không cẩu máy",,VF8 Eco AWD,2023.0,0.0,Mới 100%,,True,False,
4,hàng mới về,VinFast,VF5 Plus,2024.0,45000.0,Đã qua sử dụng,Mua pin,,False,
5,VF8 S - CATL - Đỏ/Đen - odo 9.968km,,,,9968.0,Đã qua sử dụng,Pin CATL,,False,
6,"Xe đẹp, tình trạng tốt",VinFast,VF8 Eco,2023.0,48950.0,Đã qua sử dụng,,True,False,
7,"Giảm thêm 4% khi xuất hoá đơn đến hết 2025, giảm thêm 3% cho Cán bộ, Chiến sĩ – Công an – Quân đội",,,,,Đã qua sử dụng,,,False,
8,"thuần điện, sản xuất 2023, lăn bánh 2.680 mile",Mercedes-Benz,EQS 450 Plus,2023.0,4000.0,Đã qua sử dụng,Mua pin,,False,
9,KHÔNG MUA LÀ PHÍ! | VF8 ECO 2023 – CHẠY HƠN 4 VẠN – ĐẸP LOẠI 1,VinFast,VF8 Eco,2023.0,40000.0,Đã qua sử dụng,,True,False,
10,"MÀU ĐỎ,TRẺ lịch lãm – càng nhìn càng sang",,VF8 Plus AWD,2023.0,47000.0,Đã qua sử dụng,,True,True,
11,"VinFast VF8 Plus AWD, kích thước tổng thể, chiều dài cơ sở, trang bị như bộ mâm, tay nắm cửa, gương chiếu hậu tích hợp sấy và camera, thông tin hiển thị trên HUD, điều hòa tự động, cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0",,VF8 Plus AWD,2026.0,0.0,Mới 100%,,,True,
12,"đồng thời trắng ngọc trai, nội thất nâu sang trọng",,VF8 Plus AWD,2023.0,0.0,Mới 100%,,,True,
13,"xe thật ,ảnh thật, giá chuẩn",,VF8 Plus AWD,2023.0,0.0,Mới 100%,,,True,
14,giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí đến 30/6/2027 | + Miễn 100% lệ phí trước bạ,,VF3 Plus,,,Đã qua sử dụng,,,False,
15,"đẹp không lỗi, chạy mượt, pin khỏe",VinFast,VF8 Eco AWD,2023.0,64000.0,Đã qua sử dụng,Mua pin,True,True,
16,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,,VF8 Plus AWD,2023.0,47000.0,Đã qua sử dụng,Mua pin,,False,
17,Bán Vinfast VF6 Plus | Sản xuất: 2025 | Odo: 20.000km,VinFast,VF6 Plus,2025.0,20000.0,Đã qua sử dụng,,,False,
18,- Xe đã chạy 10v8 - Đã bảo hành thay động cơ mới cuối năm 2025 - Đã bảo hành thay pin mới SDI đầu năm 2026,VinFast,VF e34,2022.0,10800.0,Đã qua sử dụng,Mua pin,True,True,
19,"đẹp không lỗi, chạy mượt, pin khỏe",VinFast,VF8 Eco AWD,2022.0,60000.0,Đã qua sử dụng,Thuê pin,True,True,
20,"giảm 70 triệu khi đổi xăng sang điện, tặng 50 triệu tiền mặt, miễn phí bảo hiểm thân vỏ, không đâm đụng, không ngập nước, không bổ máy, không cẩu máy, hồ sơ chuẩn, cam kết bằng văn bản",,VF8 Eco AWD,2023.0,0.0,Mới 100%,,True,False,
21,"di chuyển linh hoạt trong nội đô, thiết kế nhỏ gọn, dễ dàng luồn lách trong phố đông, đỗ xe 'chuẩn từng milimet'",,Xiaoma,2026.0,0.0,Mới 100%,Mua pin,,False,
22,"- Khuyến mãi 100tr cho 300 khách hàng đầu tiên | - Mầu sắc: trắng, đỏ, đen, xanh | - Trả góp tối đa 85% | - Lãi suất ưu đãi chỉ từ 0.6%/ tháng, cố định trong 3 năm | - Cung cấp biển số đẹp định danh toàn quốc | - Làm biển Hà Nội cho khách tỉnh",Ford,Mustang Mach-E,2025.0,0.0,Mới 100%,Mua pin,,True,
23,giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí lên đến 3 năm | + Miễn 100% lệ phí trước bạ,VinFast,VF6 Plus,2026.0,,Đã qua sử dụng,,,False,
24,"mua pin, sạc free đến 6.2027, đi ~ 36.000 km, nguyên zin, không tai nạn",VinFast,VF5 Plus,2025.0,36000.0,Đã qua sử dụng,Mua pin,True,False,
25,"miễn phí 100% phí trước bạ, hỗ trợ vay 80%",,VF7 Eco,,,Đã qua sử dụng,,,False,
26,Khuyến Mãi Cực Hot Trong Tháng | Sẵn xe giao ngay | Thuế trước bạ 0% | Hỗ trợ vay 90% giá trị xe,VinFast,Limo Green,2025.0,0.0,Mới 100%,Thuê pin,,True,
27,"sản xuất 2025, mua pin đi 10800 km",VinFast,VF5 Plus,2025.0,10800.0,Đã qua sử dụng,Mua pin,,False,
28,"đại lý xe đã qua sử dụng, kiểm tra 139 hạng mục, không đâm đụng, ngập nước, hỗ trợ vay đến 90%",,VF8 Plus AWD,2023.0,,Đã qua sử dụng,Mua pin,True,False,
