base_model,battery_kwh,range_km,power_hp
Atto 3,60.4,480.0,201.0
BINGO Max,37.9,410.0,67.0
Bingo 2025,31.9,333.0,67.0
Bingo Tím,37.9,410.0,67.0
Bingo base,31.9,333.0,67.0
Bán con,9.6,120.0,26.8
Dolphin,44.9,405.0,94.0
E34 xanh,42.0,318.6,147.0
EC VAN:,17.0,150.0,41.0
EC Van,17.0,150.0,41.0
Ec Van,17.0,150.0,41.0
Giảm giá,37.2,326.4,134.0
Han,85.4,521.0,241.0
Herio Green,37.2,326.0,136.0
Limo Green,60.1,450.0,204.0
LimoGreen Tiên,60.1,450.0,204.0
LimoGreen sẵn,60.1,450.0,204.0
Limogreen,60.1,450.0,204.0
Limogreen màu,60.1,450.0,204.0
M6,55.4,420.0,161.0
MERCEDES,66.5,422.0,190.0
MINIO GREEN,14.7,170.0,27.0
Mercedes,108.1,730.0,365.0
Mini Car,18.6,215.0,43.0
Mini EV,13.4,170.0,26.8
Minio Green,14.7,170.0,27.0
Mới 2025,37.2,326.4,134.0
NERIO GREEN,41.9,318.6,150.0
Nerio Green,41.9,318.6,150.0
Phiên Bản,18.3,81.0,204.0
Seal,61.4,460.0,201.0
Sẵn xe,59.6,399.0,134.0
VF 3,18.6,215.0,43.0
VF 5,37.2,326.4,134.0
VF 6,59.6,381.0,201.0
VF 7,75.3,450.0,201.0
VF 8,82.0,420.0,349.0
VF e34,42.0,318.6,147.0
VF3,18.6,215.0,43.0
VF5,37.2,326.4,134.0
VF6,59.6,381.0,201.0
VF7,75.3,450.0,201.0
VF8,82.0,420.0,349.0
VF9,92.0,480.0,402.0
VFe34 2022,42.0,318.6,147.0
VFe34 2023,42.0,318.6,147.0
VFe34 2025,42.0,318.6,147.0
VFe34 cũ,42.0,318.6,147.0
Vf 7,75.3,450.0,201.0
Xe điện,23.299999999999997,251.5,47.0
ÔI RỒI,60.1,450.0,204.0
⚡ BẢO,60.1,450.0,204.0
⚡ CHỐT,39.1,298.0,122.0
⚡ EC,17.0,150.0,41.0
⚡ MINIO,14.7,170.0,27.0
⚡ VINFAST,37.2,326.4,134.0
⚡ WULING,31.9,333.0,67.0
⚡️EC VAN,17.0,150.0,41.0
✔️ VINFAST,92.0,480.0,402.0
✨ VF,18.6,215.0,43.0
✨VinFast Minio,14.7,170.0,27.0
𝐕𝐈𝐍𝐅𝐀𝐒𝐓 𝐄𝐂,17.0,150.0,41.0
𝐖𝐔𝐋𝐈𝐍𝐆 𝐁𝐈𝐍𝐆𝐎,31.9,333.0,67.0
𝑳𝒊𝒎𝒐 𝑮𝒓𝒆𝒆𝒏,60.1,450.0,204.0
𝑽𝑭6 𝑬𝒄𝒐,59.6,399.0,134.0
𝙑𝙄𝙉𝙁𝘼𝙎𝙏 𝙑𝙁5,37.2,326.4,134.0
🌟 EC,17.0,150.0,41.0
🌟 VF,82.0,420.0,349.0
🌟 VINFAST,37.2,326.4,134.0
🌟VINFAST EC,17.0,150.0,41.0
🌸 ƯU,31.9,333.0,67.0
🍀 MINIO,14.7,170.0,27.0
🍀 VinFast,59.6,399.0,134.0
🎁 VinFast,75.3,431.0,349.0
🎉EC VAN,17.0,150.0,41.0
👩🚐 VINFAST,17.0,150.0,41.0
💎 VF,75.3,431.0,349.0
💎 VinFast,59.6,399.0,134.0
💥 GIÁ,37.2,326.4,134.0
💥 LIMO,60.1,450.0,204.0
💥 VF,75.3,400.0,201.0
💥 VINFAST,82.0,420.0,349.0
💥VF 5,37.2,326.4,134.0
💥🚘VF 3,18.6,215.0,43.0
📌Xe Sẵn,75.3,431.0,349.0
🔥 CHỈ,82.0,420.0,349.0
🔥 HÀNG,75.3,431.0,349.0
🔥 MINIO,14.7,170.0,27.0
🔥 Minio,14.7,170.0,27.0
🔥 Mua,59.6,399.0,134.0
🔥 Sẵn,82.0,400.0,402.0
🔥 VINFAST,92.0,480.0,402.0
🔥 VinFast,18.6,215.0,43.0
🔥 Wuling,37.9,410.0,67.0
🔥 [HOT],37.2,326.4,134.0
🔥 [SIÊU,37.2,326.4,134.0
🔥 𝐁𝐘𝐃,44.9,405.0,94.0
🔥Mino Green,14.7,170.0,27.0
🔥THĂNG HẠNG,82.0,420.0,349.0
🔥VF 8,82.0,420.0,349.0
🔥🔥 Sẵn,15.85,160.0,34.0
🚀 VF,75.3,431.0,349.0
🚐 EC,17.0,150.0,41.0
🚐 VINFAST,17.0,150.0,41.0
🚐 VinFast,17.0,150.0,41.0
🚗 BÁN,22.65,251.5,46.9
🚗 CHỈ,18.6,215.0,43.0
🚗 MINIO,14.7,170.0,27.0
🚗 Mua,78.65,435.0,275.0
🚗 VF,59.6,399.0,134.0
🚗 VFe34,42.0,318.6,147.0
🚗 VINFAST,37.2,318.6,134.0
🚗 VinFast,18.6,215.0,43.0
🚗 WULING,31.9,333.0,67.0
🚗 Wuling,34.9,371.5,67.0
