id,reasoning,brand,model,imputed_year,imputed_mileage_km,has_aftermarket_mods
0,Brand not specified; model inferred as i8 from title; no mileage or year mentioned; no aftermarket mods.,,i8,,,False
1,No brand or model explicitly stated; description notes per-charge range but provides no year or mileage.,,,,,False
2,Brand identified as Yadea; no model specified; no year or mileage.,Yadea,,,,False
3,Brand Yadea detected; model M133; no year or mileage.,Yadea,M133,,,False
4,Model inferred as LENOX; brand not in standard list; no year or mileage.,,LENOX,,,False
5,Brand not identified; model set to VC-3 PLUSS; no mileage/year mentioned; no aftermarket mods detected.,,VC-3 PLUSS,,,False
6,Kazuki DTP-S; brand not in standard list; model set to DTP-S; no mileage/year; no mods.,,DTP-S,,,False
7,BALLFAYOX 143; brand not identified; no year/mileage; no mods.,,BALLFAYOX 143,,,False
9,Brand Yadea detected; model set to 133; no year/mileage; no mods.,Yadea,133,,,False
10,Brand Yadea detected; model not specified; no year/mileage; no mods.,Yadea,,,,False
11,The listing for an electric bicycle by Hyundai does not include the year or mileage. It lacks additional aftermarket mods information.,null,null,,,False
12,"Asama electric bicycle's description does not state the year or mileage, and there's no mention of aftermarket modifications.",Asama,null,,,False
13,M133 electric bicycle mentions technical specifications but does not provide a production year or mileage. No aftermarket modifications are indicated.,null,M133,,,False
14,"Asama bike mentions it's been used but no year is mentioned nor the mileage. There's a new seat, thus there is one aftermarket modification.",Asama,null,,,True
15,"Yadea electric bike is mentioned, but the year of manufacture and mileage are not present. No aftermarket modifications have been stated either.",Yadea,ACTION,,,False
16,Listing contains 'Toyotires' but does not specify a model. Year and mileage are not given.,null,null,,,False
17,"Listing mentions 'alan mits 8', categorized as electric bicycle. Year and mileage are not given. Remote and charger mentioned, but no aftermarket mods by the owner.",null,null,,,False
18,Listing specifies 'Yadea' as the brand and provides a mileage range of 30-40 km. Year is not mentioned.,Yadea,null,,35.0,False
19,"Listing is unclear about the brand and model, noted as 'XE MỚI', but mentions a new battery. Year and mileage are not mentioned.",null,null,,,False
20,Listing specifies 'Asia' as the brand but does not mention a model. Year and mileage are not provided.,null,null,,,False
26,The listing is for a new electric bicycle with specified features but lacks brand and model information.,,,,,False
27,"This listing also refers to a new M133 model but does not specify the brand directly, implying it's the same model as the previous entry and lacks additional feature details.",,,,,False
28,The listing specifies it is an electric bicycle from Asama but does not provide a specific model. Year and mileage are not mentioned.,Asama,,,,False
29,The electric bicycle is identified as a Bike City model but no specific production year or mileage is noted.,Bike City,,,,False
30,The listing mentions an electric bicycle from Yadea but does not specify the model. No year or mileage is mentioned in the listing.,Yadea,,,,False
21,"The title mentions 'Xe điện Asuki', which maps to brand 'Asama'. The model is not specified. The year and mileage are not mentioned, so they are set to null. There are features like remote locking and new batteries indicating aftermarket modifications.",Asama,,,50.0,True
22,"The title mentions 'Xe đạp điện Ninja', which maps to brand 'Yadea'. The model is not specified. The year and mileage are not directly mentioned, so they are set to null. Features suggest the bike is in good condition but no aftermarket mods are indicated.",Yadea,,,,False
23,"The title indicates 'Xe đạp điện Vespa', which maps to brand 'Pega'. The model is not specified. The year is implied to be recent as it's described as 90% new. Mileage is not mentioned, resulting in null. There are no indications of aftermarket modifications.",Pega,,,,False
24,"The title mentions 'Xe đạp điện Yamada', which maps to brand 'Yadea'. The model is not specified. The year and mileage are not specified, hence set to null. There are no aftermarket modifications mentioned.",Yadea,,,,False
25,"The title mentions 'Xe đạp điện Honda', which maps to brand 'Honda'. The model is not specified. The year is not mentioned, and mileage is also not provided, so set to null. There are no aftermarket modifications indicated.",Honda,,,,False
36,Brand not explicit in title/desc; model extracted as 'Martin 107'. No year or mileage mentioned. No aftermarket mods indicated.,,Martin 107,,,False
37,Model extracted as 'SK8'. No year/mileage; no mods mentioned.,,SK8,,,False
38,Model identified as 'Wiibike Summer'. Brand not among standardized list; no year/mileage; no mods.,,Wiibike Summer,,,False
39,Model extracted as 'M133'. Brand not explicitly provided; no year/mileage; no mods.,,M133,,,False
40,Model identified as 'HIMO Z20'. Brand not in standardized list; no year/mileage; no mods.,,HIMO Z20,,,False
56,Brand identified: Yadea. Mileage/year not mentioned. No aftermarket mods.,Yadea,,,,False
57,Brand identified: Asama. No mileage/year/mods.,Asama,,,,False
58,Brand not in standard list; model inferred: V8. No mileage/year/mods.,,V8,,,False
59,Brand: Yadea. Model: TYPE3-PRO. Mileage: 1000 km stated. No mods.,Yadea,TYPE3-PRO,,1000.0,False
60,Brand not in standard list; model: S16.8 Smart. Mileage/year unknown.,,S16.8 Smart,,,False
31,The listing explicitly states the brand and model of the electric bicycle (Yamaha Citypas). Year and mileage are not mentioned.,Yamaha,Citypas,,,False
32,The listing does not specify the brand or model of the two-wheeler. Year and mileage are not mentioned.,,,,,False
33,The listing states the brand (Asama) but does not provide a specific model. Year and mileage not mentioned. Warranty details are provided instead.,Asama,,,,False
34,The listing indicates the brand (Asama) and mentions the bicycle is in very good condition (90%). Specific model not mentioned. Year and mileage not provided.,Asama,,,,False
35,"The listing does not specify the brand or model. Additionally, year and mileage are not mentioned, but it emphasizes good condition and warranty.",,,,,False
