ID,Tên,Tiền (VNĐ),Vị trí,Ngày đăng,Người dùng,Sao,Đã bán,Đang bán,Năm sản xuất,Tình trạng,Số Km đã đi,Thông tin mô tả,Tính năng nổi bật,Tính năng khác,Kiểu dáng,Màu bên ngoài,Chiều dài(mm),Chiều dài cơ sở(mm),Chiều rộng(mm),khoảng sáng gầm(mm),Số chỗ ngồi,Trọng lượng bản thân (kg),Trọng lượng toàn tải (kg),Dung tích khoang hành lý (lít),Dung tích khoang hành lý khi gập ghế sau (lít),Công suất tốt đa(hp),Tốc độ tối đa (km/h),0-100(s),Tầm hoạt động (km),Dung lượng pin (kWh),Chi phí sạc đầy (VNĐ),Chi phí sạc hàng tháng (VNĐ),Sạc chậm (giờ),Sạc tiêu chuẩn (giờ),Phần trăm sạc treo tường,phút sạc treo tường
https://otodien.vn/oto-vinfast-vf3-nam-2025/100000434,VinFast VF3 2025 mới,286,Hà Nội,2025-07-21,Tuan Anh,,0,0,2025,Xe mới,0 Km,trả trước 45 triệu - không chứng minh thu nhập-Hồ sơ xe nhanh chóng thánh toán đủ đối ứng 3 ngày nhận xe.,Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hỗ trợ khởi hành ngang dốc - Kiểm soát lực kéo - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Khác,3190.0,2075.0,1679.0,191.0,5,857.0,1157.0,36.0,285.0,43.0,100.0,19.3,215.0,18.6,25000.0,384000.0,18 giờ,6 giờ,70.0,36.0
https://otodien.vn/oto-vinfast-vf7-nam-2026/100001346,VF7 Plus,785,Hà Nội,2026-06-06,GF Thăng Long Car,,6,15,2026,Xe mới,0 Km,"VF7 plus 2026 1 cầu trần thép mới tinh-Xe chưa ra biển số, ko phải đóng thuế-Xe ko xuất đc hoá đơn công ty",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đen,4545.0,2840.0,1890.0,190.0,5,,,,,349.0,175.0,9.5,431.0,75.3,132000.0,465000.0,18 giờ,7 giờ,70.0,28.0
https://otodien.vn/oto-vinfast-vf3-nam-2024/100000411,VinFast VF3 2024 thuê pin lướt,240,Hà Nội,2025-07-07,Trường Ô Tô Điện,,0,0,2024,Đã sử dụng,6000 Km,"VinFast VF3 thuê pin tiên phong-– Màu vàng/xám, sx 2024-– Odo lướt 6000km-– Xe lên 40tr tiền đồ: Ghế da napa + sàn + bọc vô lăng + cam hành trình + cam lùi + ốp lazang + gương + film + đăng kiểm và phí đường bộ 2 năm, gia cố càng A...v.v và nhiều đồ chơi khác-– Miễn phí sạc xe đến 07/2027-– Cam kết k đâm đụng, ngập nước, bao check test thoải mái",Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hỗ trợ khởi hành ngang dốc - Kiểm soát lực kéo - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Vàng,3190.0,2075.0,1679.0,191.0,5,857.0,1157.0,36.0,285.0,43.0,100.0,19.3,215.0,18.6,25000.0,384000.0,18 giờ,6 giờ,70.0,36.0
https://otodien.vn/oto-vinfast-vf6-nam-2025/100000933,VinFast VF6 2025 Plus,629,Tp Hồ Chí Minh,2026-03-11,Khoa Phạm,,0,0,2025,Đã sử dụng,19000 Km,"📣📣 Vinfast VF6 Plus 2025 - Mua Pin 💥💥-✅ Biển số: TP. HCM-✅ Odo: 19.000 km-✅ Xe đã trang bị: Film cách nhiệt, lót sàn, camera hành trình, vietmaplive, xe còn BH thân vỏ-✅ Cam kết KHÔNG đâm đụng, KHÔNG ngập nước-✅ Xem xe TP. HCM Q10-✅ Free sạc 2027-💰 Giá: 629tr",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Trắng,4238.0,2730.0,1820.0,170.0,5,1550.0,1977.0,350.0,1275.0,201.0,175.0,8.5,381.0,59.6,104000.0,400000.0,18 giờ,9 giờ,70.0,24.0
https://otodien.vn/oto-vinfast-vf5-nam-2026/100000800,Mua VF5 Plus,497,Tp Hồ Chí Minh,2026-03-30,Nguyễn Hiếu,,0,0,2026,Xe mới,0 Km,"Mua VF5 Plus - Giá chỉ 497,000,000 (Đã gồm pin - vay 85%)-💰 Trả trước nhẹ tênh, nhận xe ngay!- ƯU ĐÃI CỰC SÂU ĐẾN 26/03/2025!-💸Giảm 6% giá xe cho toàn bộ khách hàng~32.000.000-💸Giảm 11% giá xe cho KH công an,quân đội ~58.000.000-💸Tặng 1 năm bảo hiểm thân vỏ Tasco trị giá 7,000,000-👉Đăng kí Free htx cho các bác tài-⏳ Số lượng có hạn – cơ hội vàng để sở hữu xe điện VinFast với chi phí nhẹ nhàng nhất!-———————————————-📞 Hotline: *** -Trung Hiếu Vinfast-#VF5 #VinFast #VFXanhQuangTrung #VinFastHCM #KhuyếnMãiVinFast",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đỏ,3967.0,2513.0,1723.0,182.0,5,1360.0,1685.0,260.0,900.0,134.0,130.0,12.0,326.4,37.2,64000.0,320000.0,18 giờ,6 giờ,70.0,30.0
https://otodien.vn/oto-vinfast-vf8-nam-2023/100000664,VinFast VF8 2023 Eco,715,Hà Nội,2026-01-30,Mua Bán Ô Tô Điện,,0,0,2023,Đã sử dụng,47000 Km,"VF8 Eco 2023-Mua Pin Catl-Xe dân ko phải xe GF ae nhé!-Odo: 4,7v km",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Trắng,4750.0,2950.0,1934.0,179.0,5,2540.0,2990.0,376.0,1373.0,349.0,200.0,6.5,420.0,82.0,156000.0,585000.0,8-10 giờ,4 giờ,70.0,24.0
https://otodien.vn/oto-vinfast-vf7-nam-2025/100000953,Vf7 2025 đi cực ít 2500km,665,Hải Dương,2026-03-12,Hà văn Hiếu,,0,0,2025,Đã sử dụng,2500 Km,VF7 2025👉 2500 km-Sơn zin cả xe-665 ---------Lh 0399500964,Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Trắng,4545.0,2840.0,1890.0,190.0,5,,,,,201.0,175.0,9.5,450.0,75.3,132000.0,465000.0,18 giờ,7 giờ,70.0,28.0
https://otodien.vn/oto-vinfast-vf8-nam-2025/100000735,VinFast VF8 2025 Plus,920,Hà Nội,2026-02-05,Vũ Đình Tuấn,,0,1,2025,Đã sử dụng,4000 Km,Vinfast Vf8 Plus 2025 Trắng nt Đen odo: 4000km -Giá 920tr,Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Trắng,4750.0,2950.0,1934.0,179.0,5,2540.0,2990.0,376.0,1373.0,402.0,200.0,5.5,400.0,82.0,156000.0,585000.0,8-10 giờ,4 giờ,70.0,24.0
https://otodien.vn/oto-vinfast-vf8-nam-2023/100000622,VinFast VF8 2023 Eco,700,Hà Nội,2026-01-26,Mua Bán Ô Tô Điện,,0,0,2023,Đã sử dụng,60000 Km,Hàng hot-Vf8 eco SDI 2023-Xe đi 6v km-Sẵn hồ sơ đăng kí được ngay--120tr đổi xe xăng điện-Tặng 1 năm bhtv,Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Cửa sổ trời - Ghế da - Hỗ trợ lái,Âm thanh 10 loa - Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Xám,4750.0,2950.0,1934.0,179.0,5,2540.0,2990.0,376.0,1373.0,349.0,200.0,6.5,420.0,82.0,156000.0,585000.0,8-10 giờ,4 giờ,70.0,24.0
https://otodien.vn/oto-vinfast-vf-mpv-7-nam-2026/100001441,👉 VF MPV 7 – ĐỪNG BỎ LỠ CƠ HỘI VÀNG 🚗⚡,689,Hà Nội,2026-05-19,VinFast Minh Đạo Sóc Sơn,,0,0,2026,Xe mới,0 Km,"Nhanh tay sở hữu VF MPV 7 – mẫu MPV điện 7 chỗ hiện đại, rộng rãi, tiện nghi dành cho gia đình Việt 💚--✨ Không gian 7 chỗ rộng rãi, thoải mái cho cả nhà 🛋️-✨ Vận hành êm ái, tăng tốc mượt mà ⚡-✨ Sạc nhanh 10–70% chỉ khoảng 30 phút 🔋-✨ Quãng đường khoảng 450 km/lần sạc 🚘-✨ Hệ thống 150.000+ trạm sạc toàn quốc 🌍-✨ Bảo hành xe 7 năm 🛡️-✨ Bảo hành pin 8 năm 🔋--🔥 ƯU ĐÃI CỰC HOT – TỔNG GIÁ TRỊ LÊN TỚI 129 TRIỆU ĐỒNG-🎁 Ưu đãi Thu Xăng Đổi Điện hấp dẫn-🎁 Tặng 2 năm bảo hiểm giá trị cao-🎁 Nhiều chính sách hỗ trợ mua xe cực tốt--🌱 VF MPV 7 – Lựa chọn xanh, hiện đại và kinh tế cho gia đình tương lai--📩 Liên hệ em ngay để đặt cọc giữ ưu đãi tốt nhất-🏢 VinFast Minh Đạo Sóc Sơn-📞 Call/Zalo: ***",,,Minivan (MPV),Khác,,,,,7,,,,,,,,,,,,,,,
