Link,imputed_body_style,imputed_seats,imputed_exterior_color,imputed_location,imputed_year,imputed_mileage_km,imputed_condition
https://xe.chotot.com/mua-ban-xe-dap/133136445.htm,,,,,,80000.0,
https://xe.chotot.com/mua-ban-xe-dap/133106822.htm,Xe đạp điện,,Xám,,,1000.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/133063410.htm,,,,BH Bình Tân,,,
https://xe.chotot.com/mua-ban-xe-dap/133142579.htm,,,Trắng,,,1000.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/133032037.htm,null,,Đỏ,,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/133144546.htm,,,,HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/133065437.htm,Xe đạp điện,,,,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132756452.htm,,,,"Bình Hưng Hoa, Bình Tân",,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/133138360.htm,,,,539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132717845.htm,Xe đạp điện,,Trắng,,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132704252.htm,Xe đạp điện,,,29 bùi hữu nghĩa p1 quận Bình Thạnh,,,
https://xe.chotot.com/mua-ban-xe-dap/132935211.htm,,,,HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,
https://xe.chotot.com/mua-ban-xe-dap/133111008.htm,null,,null,null,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/133149830.htm,Xe đạp điện,,,,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/131636938.htm,Bicycle,,Màu trắng,,,,
https://xe.chotot.com/mua-ban-xe-dap/132883186.htm,,,,539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/133103431.htm,Xe đạp điện,,,TP.HCM,2026.0,,
https://xe.chotot.com/mua-ban-xe-dap/133113708.htm,null,,null,null,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/133106937.htm,,,,,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/131636091.htm,,,xám,,,,
https://xe.chotot.com/mua-ban-xe-dap/133097107.htm,,,,,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/133051322.htm,,,,HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132857491.htm,,,,LH 539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132718236.htm,,,,,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/133060319.htm,Xe đạp điện,,Vàng,,,,
https://xe.chotot.com/mua-ban-xe-dap/133065446.htm,,,,,2026.0,,
https://xe.chotot.com/mua-ban-xe-dap/133051586.htm,,,,,,,
https://xe.chotot.com/mua-ban-xe-dap/132875630.htm,,,,539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/133046647.htm,Xe đạp điện,,"Trắng, Hồng",,,70000.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/133043150.htm,,,,,,80.0,
https://xe.chotot.com/mua-ban-xe-dap/125678476.htm,,,,,2025.0,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/128343821.htm,,,,106/7 Tân Chánh hiệp 10 quận 12 tphcm,,80.0,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132741594.htm,,,,HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132871610.htm,,,,"Bình Hưng Hòa, Bình Tân",,,
https://xe.chotot.com/mua-ban-xe-dap/132979542.htm,null,,null,null,,,
https://xe.chotot.com/mua-ban-xe-dap/133015887.htm,,,,quận 10,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/133000364.htm,Xe đạp điện,,Đen,,2026.0,50.0,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/131632459.htm,,,,,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132797688.htm,,,,LH 539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,
https://xe.chotot.com/mua-ban-xe-dap/132955135.htm,,,Đen,,,,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132949357.htm,,,,LH 539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132935731.htm,,,Xám,,,50.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132940209.htm,,,,539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132924332.htm,null,,null,null,2026.0,3000.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/131044391.htm,Xe đạp điện,,,Hà Nội,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132820654.htm,,,,539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132935720.htm,,,Xám,,,50.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132910432.htm,Xe đạp điện,,Xám,,,192.0,Đã qua sử dụng
https://xe.chotot.com/mua-ban-xe-dap/132913089.htm,,,,HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132393174.htm,,,,,,,
https://xe.chotot.com/mua-ban-xe-dap/132710625.htm,,,,HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132547727.htm,,,,,,,Mới 100%
https://xe.chotot.com/mua-ban-xe-dap/132825284.htm,,,,,,,
https://xe.chotot.com/mua-ban-xe-dap/132820966.htm,,,,,,,
https://xe.chotot.com/mua-ban-xe-dap/132612310.htm,,,,LH 539/15 HƯƠNG LÔ 3.PHƯỜNG BÌNH HƯNG HOA QUÂN BÌNH TÂN,,,Mới 100%
