Link,imputed_body_style,imputed_seats,imputed_exterior_color,imputed_location,imputed_year,imputed_mileage_km,imputed_condition
https://xevinfastluot.com/san-pham/vinfast-limo-green-2025/,MPV,7.0,,,2025,,
https://xevinfastluot.com/san-pham/lo-vinfast-vf3-2025-moi-99/,,,,,2025,18,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-herio-green-2025/,,,,,2025,29000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf3-2024-3/,,,Trắng,,2024,,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-limo-green-2026/,,,,,2026,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf3-2024-4/,,,,,2024,6000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf-8-plus-2023/,,,,,2023,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf3-2024-2/,,,,,2024,,Đã qua sử dụng
https://xevinfastluot.com/san-pham/lo-vinfast-vf8-eco-2023/,,,,,2023,25000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf3-2024-5/,,,,,2024,19000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf3-2024-6/,,,,,2024,9000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf3-2024/,,,,,2024,1500,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf3-2024-7/,,,,,2024,11000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf3-2025-2/,,,,,2025,9900,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf3-2025/,,,,,2025,4800,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf3-moi/,,,,,2024,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf3-2025-3/,,,,,2025,6000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf3-2025-4/,,,,,2025,9000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf3-moi-2/,,,,,2024,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf3-2025-moi-99/,,,"Trắng, Đỏ, Xám, Xanh Dương",,2025,20,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2023-2/,,,,,2023,,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2023-3/,,,,,2023,32000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2023-4/,,,,,2023,3000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2023-5/,,,,,2023,3000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2023/,,,,,2023,70000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2024-2/,,,,,2024,23000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2024-3/,,,,,2024,4500,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf5-2024/,,,,,2024,29000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2024-4/,,,,,2024,35000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2023-6/,,,,,2023,3000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2024-5/,,,,,2024,,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2024/,,,,,2024,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2025-2/,,,,,2025,4000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf5s-2024/,,,,,2024,10000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf6-plus-2023/,,,,,2023,37000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2025/,,,xám xi măng,,2025,1000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf5s-2024-2/,,,,,2024,3900,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf6-plus-2024-2/,,,,,2024,80000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf5-plus-2025-3/,,,,,2025,70000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf6-plus-2024-3/,,,,,2024,30000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf6-plus-2024-5/,,,,,2024,48000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf6-plus-2024/,,,,,2024,3000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf6-plus-2024-4/,,,,,2024,31000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf6s-2024-2/,,,,,2024,117000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf7-plus-2024-3/,,,,,2024,11000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf7-eco-2025/,,,,,2025,18000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf6s-2024/,,,zin,,2024,70000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf7-plus-2024-2/,,,,,2024,19000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf7-plus-2024/,,,,,2024,11000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf7-plus-2024-4/,,,,,2024,28000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-2022-2/,,,,,2022,3000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-2022/,,,,,2022,31000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-2023-2/,,,,,2023,49000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-2023-3/,,,,,2023,51000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-2023/,,,,,2023,29000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-2024-2/,,,trắng,,2024,1000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-10/,,,,,2023,40000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-11/,,,,,2023,68000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-2024/,,,,,2024,1900,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-12/,,,,,2023,50000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-14/,,,,,2023,90000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-15/,,,,,2023,59000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-3/,,,,,2023,35000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-2/,,,,,2023,3000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-13/,,,,,2023,39000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-4/,,,,,2023,36000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-5/,,,,,2023,38000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-6/,,2.0,,,2023,41000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-7/,,2.0,,,2023,44000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-8/,,,,,2023,40000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023-9/,,,,,2023,20000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-sieu-luot/,,,,,,,
https://xevinfastluot.com/san-pham/vinfast-vf8-eco-gf-2023/,,,,,2023,24000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2022-2/,,,,,2022,47000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2022-3/,,,,,2022,12000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2022-4/,,,,,2022,22000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2022-5/,,,,,2022,60000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2022-new-99/,,,,,2022,150,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2022/,,,,,2022,3000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2024-3/,,,,,2024,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2024-4/,,,,,2024,,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2024-2/,,,,,2024,0,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2024-5/,,,Trắng,,2024,300,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-gf-2022-3/,,,,,2022,45000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2023/,,,,,2023,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-gf-2022/,,,,,2022,42000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-gf-2023-2/,,,,,2023,40000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-gf-2023-3/,,,,,2023,39000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-2024/,,,,,2024,6000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8s-2024-2/,,,,,2024,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-sieu-luot/,,,,,,,
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-gf-2023/,,,,,2023,46000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8-plus-gf-2023-4/,,,,,2023,60000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8s-2024-new-99/,,,,,2024,30,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8s-2024/,,,,,2024,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8s-2024-new/,,,,,2024,30,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8s-lux-2024/,,,,,2024,4000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf9-eco-2025/,,,,,2025,0,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf8s-2024-new-2/,,,,,2024,30,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2023-2/,,,,,2023,14000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2023-4/,,7.0,,,2023,40000,
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2023-3/,,6.0,,,2023,,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2023-new-100/,,,,,2023,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2023-new-100-2/,,,,,2023,,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2023-5/,,,,,2023,3000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2023-6/,,,,,2023,20000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2023-7/,,6.0,trắng,,2023,38000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2023/,,,,,2023,11000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2024-2/,,6.0,,,2024,7000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2025/,,,,,2025,50,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2024/,,7.0,,,2024,3000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022-10/,,,,,2022,22000,Mới 100%
https://xevinfastluot.com/san-pham/vinfast-vf9-plus-2024-5/,,7.0,xám,,2024,3000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022-12/,,,màu hiếm,,2022,,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022-13/,,,kem,,2022,35000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022-15/,,,,,2022,8000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022-4/,,,,,2022,,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022-5/,,,,,2022,50000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022-7/,,,,,2022,7000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022-8/,,,,,2022,33000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022-9/,,,,,2022,,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2022/,,,,,2022,20000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2023-2/,,,,,2023,35000,Đã qua sử dụng
https://xevinfastluot.com/san-pham/vinfast-vfe34-2024/,,,,,2024,4000,Mới 100%
https://otodien.vn/oto-vinfast-limo-green-nam-2025/100000511,,,,,2025,,Mới 100%
https://otodien.vn/oto-vinfast-vf5-nam-2026/100002005,,,,,2026,,
https://otodien.vn/oto-vinfast-vf7-nam-2025/100000873,,,,Hà Nội,2025,18000,
https://otodien.vn/oto-vinfast-limo-green-nam-2026/100002006,MPV,7.0,,,2026,,
