reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods,vehicle_type,Link
Absence of all data,,,,,,,,False,,https://bonbanh.com/xe-ford-mustang-mach-e-premium-awd-2025-6766022
No information provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf7-plus-2026-6860896
Absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6713983
Absence of information,,,,,,,,False,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6789139
Absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6689589
No information provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf7-plus-2026-6546562
No data provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf6-plus-2026-6479323
Absence of information,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6845678
No data provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6815667
Absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6439027
absence of information,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf6-plus-2026-6821165
No available data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf5-s-2024-6828163
no keywords,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6800392
No data provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf7-plus-2026-6771518
absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf6-plus-2024-6854200
absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6847798
No data provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6633809
absence of details,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6811116
No text provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6845803
No vehicle data provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6799724
absence of information,,,,,,,,False,,https://bonbanh.com/xe-mini-aceman-e-2026-6771291
Absence of features,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf9-plus-7s-2025-6813560
absence of vehicle data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-limo-green-at-2025-6855498
absence of relevant information,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6803542
Absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6847103
Absence of data in the text,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6737624
Absence of any vehicle details,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6820977
absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf6-plus-2025-6575331
,,,,,,,,False,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6736945
Absence of information,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf9-plus-7s-2025-6783611
Absent data,,,,,,,,False,,https://bonbanh.com/xe-ford-mustang-mach-e-premium-awd-2025-6761939
No keywords found,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6839316
No data provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6748002
Absence of information,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf8-s-2024-6787206
absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6829792
Absence of information,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-plus-2024-6812841
absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2026-6860937
absence of any feature details,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6852277
absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6796092
Absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf7-eco-2026-6824779
No data provided,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf8-eco-2026-6820983
Absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6748031
No data provided,,,,,,,,False,,https://bonbanh.com/xe-dongfeng-box-e3-430-2025-6504516
Absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6805532
Absence of data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6839207
Absence of any vehicle data,,,,,,,,False,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6809557
Absence of details in the description,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6839709
No data provided,,,,,,,,False,,https://bonbanh.com/xe-geely-ex5-max-2025-6834854
No data available,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6798782
absence of any vehicle attributes,,,,,,,,False,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6526225
No information provided in the description.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6279083
Không có thông tin,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6853028
No keywords provided.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2025-6839084
Không có thông tin để trích xuất dữ liệu.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6833590
Không có thông tin để chi tiết hóa các thông số.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-6s-sdi-2023-6842035
"Không có thông tin cụ thể, do đó không thể rút ra bất kỳ thông số nào.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6745817
Không có thông tin để rút ra.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6844603
Không có mô tả nào để xác định thông số kỹ thuật xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6829995
Không có thông tin nào để xác định các đặc điểm của xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6798914
Không có mô tả nào để rút ra thông tin về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6801001
"Không có thông tin liên quan đến thương hiệu, mẫu xe, năm sản xuất, số km, tình trạng, pin, tai nạn hay độ xe.",,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6827964
"Văn bản không chứa thông tin nào về xe, do đó các trường không thể được xác định.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6802782
"Mô tả không có thông tin nào về xe, không có thương hiệu, mẫu xe, hoặc thông số nào khác.",,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6790858
giá trị mô tả không có thông tin cụ thể về xe,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-eco-2026-6689386
"Không có thông tin nào trong mô tả để xác định thương hiệu, mẫu xe, năm sản xuất, tình trạng, quãng đường đã đi hay bất kỳ thông tin nào khác.",,,,,,,,,,https://bonbanh.com/xe-porsche-macan-4-ev-2025-6554533
Không có thông tin mô tả về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6839313
"No description provided, unable to extract any information.",,,,,,,,,,https://bonbanh.com/xe-byd-seal-performance-2024-6804800
Dữ liệu mô tả không có thông tin gì về xe.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-eco-2026-6204878
Không có thông tin mô tả nào để xác định thông số kỹ thuật.,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-6s-sdi-2023-6859746
