Website,Link,Tên xe,Giá,Ngày đăng,Tên người bán,Địa chỉ,Năm sản xuất,Tình trạng,Số Km đã đi,Kiểu dáng,Màu ngoại thất,Số chỗ ngồi,Mô tả,vehicle_type
bonbanh.com,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6810439,VinFast VF8 Plus AWD 2023,650 Triệu,22/06/2026,Trung Tâm Mua Bán Trao Đổi Xe Cũ Phan Trọng Tuệ,"Km2+500 Đường Phan Trọng Tuệ, Thanh Trì Hà Nội",2023,Xe đã dùng,0 Km,SUV,Đỏ,5 chỗ,"Vinfast VF8 Plus Vin 23 | Trang bị tiện nghi nổi bật: | Màn hình trung tâm lớn, giao diện hiện đại | Hệ thống giải trí thông minh, kết nối tiện lợi | Ghế da cao cấp, chỉnh điện, không gian rộng rãi | Điều hòa tự động, cửa gió hàng ghế sau | Chìa khóa thông minh, đề nổ nút bấm | Trang bị an toàn: | Hệ thống túi khí đa điểm | ABS, EBD, cân bằng điện tử | Camera 360, cảm biến trước – sau | Hỗ trợ khởi hành ngang dốc, kiểm soát lực kéo | Các công nghệ hỗ trợ lái an toàn tiên tiến | - Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. | - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. | - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe | Liên hệ để biết thêm thông tin xe",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf9-plus-6s-2026-6842505,VinFast VF9 Plus 6S 2026,1 Tỷ 399 Triệu,22/06/2026,Khánh Vũ,"162 Trường Chinh, Phường Kim Liên Hà Nội Xem gian hàng ⇨",2026,Xe mới,0 Km,SUV,Đỏ,6 chỗ,"VINFAST VF9 – ĐẲNG CẤP SUV ĐIỆN FULLSIZE HÀNG ĐẦU VIỆT NAM | Với thiết kế sang trọng cùng hàng loạt công nghệ thông minh, VF9 chính là lựa chọn hoàn hảo cho: | ✓ Gia đình cao cấp | ✓ Doanh nhân | ✓ Khách hàng cần xe 6-7 chỗ rộng rãi | ✓ Người yêu thích trải nghiệm xe điện premium",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2024-6833135,VinFast VF8 Plus AWD 2024,829 Triệu,22/06/2026,GF Thường Tín,"Số 207 Quán Gánh, Văn Giáp, Thường Tín Hà Nội",2024,Xe đã dùng,100 Km,SUV,Đỏ,5 chỗ,"VINFAST VF8 2024 MÀU ĐỎ – PIN CATL – ODO CHỈ 100 KM – XE ĐẸP NHƯ MỚI 100% | Cần bán VinFast VF8 đời 2024 màu đỏ cực đẹp, xe gần như mới xuất xưởng với odo chỉ 100 km. | ✓ Đời 2024 | ✓ Màu đỏ nổi bật, cá tính và sang trọng | ✓ Pin CATL thế hệ mới | ✓ Odo chuẩn 100 km | ✓ Nội ngoại thất đẹp xuất sắc | ✓ Xe nguyên bản, chất lượng như xe mới | ✓ Sẵn xe – giao ngay | Tiết kiệm hàng trăm triệu đồng so với mua xe mới. | Vẫn hưởng đầy đủ giá trị của một chiếc VF8 đời cao. | Phù hợp khách hàng muốn sở hữu VinFast VF8 đẹp, giá tốt, nhận xe ngay. | Hỗ trợ trả góp ngân hàng nhanh chóng. | Hỗ trợ chương trình đổi xe xăng sang xe điện. | Nhiều ưu đãi hấp dẫn cho khách hàng chốt xe sớm. | Xe đang trưng bày tại showroom.",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6737206,VinFast Limo Green AT 2026,629 Triệu,22/06/2026,Vinfast Bát Tràng,"268 Đường Giáp Hải, Xã Bát Tràng, Tp Hà Nội Hà Nội",2026,Xe mới,0 Km,SUV,Trắng,7 chỗ,"- BÁO GIÁ XE LIMO GREEN | GIẢM 6% GIÁ TRỊ XE ! | CÔNG AN, QUÂN ĐỘI GIẢM THÊM 5% | GIẢM THÊM 3% XĂNG SANG ĐIỆN | Hỗ trợ tư vấn và lái thử tại nhà 24/7 | Bảo hành lên đến 7 năm hoặc 160.000 Km | - Khách hàng nào có nhu cầu lấy ngay em Đức tặng bộ phụ kiện: | + Dán phim cách nhiệt | + Trải sàn | + Cam hành trình | Cam kết không chi phí phát sinh. | Xe sẵn, đủ màu, bàn giao ngay. | Giá em Đức báo cam kết ưu đãi nhất cho anh chị. ( Giá xe có thể thay đổi theo từng thời điểm khác nhau, anh chị hãy liên hệ để được báo giá chuẩn và tốt nhất nhé)",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf6-eco-2026-6544930,VinFast VF6 Eco 2026,592 Triệu,22/06/2026,Vinfast Times City,"Tầng B1, TTTM Vincom Times City - 458 Minh Khai, Vĩnh Tuy, Hai Bà Trưng Hà Nội",2026,Xe mới,0 Km,SUV,Đỏ,5 chỗ,"VINFAST – ƯU ĐÃI LỚN CHƯA TỪNG CÓ | - Giảm giá trực tiếp lên đến 6% | - Khách hàng Công an – Quân đội giảm thêm 5% | - Hỗ trợ thu xe xăng đổi xe điện – thêm ưu đãi 3% | - Tổng ưu đãi có thể lên tới 18% + quà tặng tiền mặt | - Sạc miễn phí 3 năm – không giới hạn → di chuyển gần như 0 đồng | - Hỗ trợ trả góp đến 90% giá xe | -Lái thử miễn phí tận nhà | - Hỗ trợ toàn bộ thủ tục đăng ký – đăng kiểm | - Giao xe tận nhà nhanh chóng | Liên hệ ngay để nhận báo giá tốt nhất hôm nay | VinFast Times City – Hoàng Anh | VinFast VF6 Eco 2026 | VF6 Base trang bị động cơ 100kw tương đương 134 mã lực và sức kéo đạt 135Nm, xe trang bị pack pin có dung lượng gần 60kwh, do trọng lượng nhẹ hơn nên quảng đường di chuyển tối đa theo tiêu chuẩn châu âu của VF6 Base là 399km . | Xe có kích thước 4.238 x 1.820 x 1.594 mm, pin dung lượng 59,6 kWh và quãng đường di chuyển tối đa 399 km (WLTP) | An toàn và an ninh | - Túi khí: 4 túi khí. | - Hệ thống phanh: ABS, EBD, hỗ trợ phanh khẩn cấp (BA). | - Cân bằng và kiểm soát: Cân bằng điện tử (ESC), kiểm soát lực kéo (TCS), hỗ trợ khởi hành ngang dốc (HSA), chống lật (ROM). | - Hỗ trợ đỗ xe: Camera lùi, cảm biến hỗ trợ đỗ xe trước/sau. | - Cảnh báo: Cảnh báo điểm mù, cảnh báo chệch làn đường. | - Các tính năng khác: Giám sát áp suất lốp, khóa cửa tự động khi di chuyển, đèn báo phanh khẩn cấp (ESS), ghế trẻ em ISOFIX.",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6698994,VinFast VF8 Eco AWD 2023,669 Triệu,22/06/2026,Showroom GF Ninh Bình,"Đường Trần Nhân Tông, Phường Đông Hoa Lư Ninh Bình",2023,Xe đã dùng,"62,000 Km",SUV,Bạc,5 chỗ,Vinfast VF8 Eco sx 2023 | Odo 6.2 vạn km | Qúy khách hàng vui lòng liên hệ Hotline để được phục vụ & hỗ trợ tối đa chương trình bán hàng.,oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6856928,VinFast VF MPV 7 AT 2026,699 Triệu,22/06/2026,Mr Thịnh,Hà Nội Hà Nội,2026,Xe mới,0 Km,Van/Minivan,Xám,7 chỗ,"Vinfast Mpv7 - giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí lên đến 3 năm | + Miễn 100% lệ phí trước bạ | + Cam Kết Hỗ Trợ Dịch Vụ Chất Lượng Sau Bán Hàng | —- | + Giảm 6% Giá Bán | + Giảm Thêm 5% Tri Ân Công an & Bộ đội | + Quà Tặng của đại lý | + Chương Trình “ Mua Xe 0 Đồng “ Dành Riêng Cho Mpv 7 | + Giảm Thêm 3% Giá Bán | + Tặng Thêm 2 Năm Bảo Hiểm Hoặc Giảm 15 Triệu | —————————— | - Hỗ trợ Bank lên đến 80%- 85% - 90% giá trị xe! Chỉ cần 10% Tổng giá trị xe !!!! | - Hỗ trợ giao xe tận nhà! | - Hỗ trợ đăng ký, đăng kiểm! | - Hỗ trợ khách hàng không có hộ khẩu Hà Nội nhưng đăng kí xe được biển Hà Nội! | + Cam kết giá xe tốt nhất và khuyến mại nhiều nhất thị trường",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf8-plus-2026-6813150,VinFast VF8 Plus 2026,758 Triệu,22/06/2026,Vinfast Times City,"Tầng B1, TTTM Vincom Times City - 458 Minh Khai, Vĩnh Tuy, Hai Bà Trưng Hà Nội",2026,Xe mới,0 Km,SUV,Đen,5 chỗ,"ĐẶT CỌC TIÊN PHONG VINFAST VF8 2026 NGAY HÔM NAY | Nhận ngay hàng loạt chính sách ưu đãi hấp dẫn: | ✓ Giảm ngay 10% chương trình “Mãnh Liệt Tinh Thần Việt Nam” | ✓ Giảm thêm 5% dành cho Quân đội - Công an | ✓ Chỉ từ 51 triệu đặt cọc tiên phong | ✓ Cùng nhiều ưu đãi hấp dẫn khác tại thời điểm nhận xe | ━━━━━━━━━━━━━━━ | VINFAST VF8 2026 – THIẾT KẾ MỚI, KHUNG GẦM MỚI, TRẢI NGHIỆM MỚI | VF8 thế hệ mới được phát triển trên nền tảng khung gầm hoàn toàn mới, mang phong cách hiện đại, mềm mại và thực dụng hơn. | ✔ Ngoại hình trau chuốt đậm chất châu Á | ✔ Dải LED chữ V nhận diện thương hiệu nổi bật | ✔ Mặt ca-lăng tràn viền hiện đại | ✔ Thiết kế SUV pha chất MPV rộng rãi, thực dụng | Kích thước tối ưu hơn: | • Dài x Rộng x Cao: 4.701 x 1.872 x 1.670 mm | • Trục cơ sở: 2.840 mm | • Lốp 19 inch | • Khoảng sáng gầm: 170 mm | Trọng lượng xe nhẹ hơn gần nửa tấn so với thế hệ cũ: | → Giúp xe tăng tốc tốt hơn | → Tiết kiệm điện hơn | → Vận hành linh hoạt hơn | Trang bị hệ thống treo FSD cao cấp: | Công nghệ giảm chấn thích ứng theo tần số dao động giúp xe: | ✔ Êm ái khi đi phố | ✔ Đầm chắc khi chạy tốc độ cao | ✔ Hạn chế rung lắc cực tốt | Đây là trang bị rất hiếm trong phân khúc SUV điện hiện nay. | Liên hệ ngay để: | ✓ Giữ suất ưu đãi sớm | ✓ Được tư vấn trả góp chi tiết | ✓ Đăng ký lái thử thực tế | ✓ Nhận báo giá tốt nhất thời điểm hiện tại",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6835479,VinFast VF3 Plus 2026,245 Triệu,22/06/2026,Vinfast Thăng Long,"Số 68 Trịnh Văn Bô, Phường Phương Canh, Quận Nam Từ Liêm Hà Nội",2026,Xe mới,0 Km,Hatchback,Trắng,4 chỗ,"VINFAST VF 3 PLUS 2026 – MINI SUV ĐIỆN QUỐC DÂN, CÁ TÍNH VÀ HIỆN ĐẠI | VinFast VF 3 Plus 2026 là mẫu mini SUV điện được yêu thích nhờ thiết kế nhỏ gọn, cá tính, dễ dàng di chuyển trong đô thị cùng chi phí sử dụng cực thấp. | ✓ Thiết kế SUV nhỏ gọn, khỏe khoắn | ✓ Vận hành hoàn toàn bằng điện, thân thiện môi trường | ✓ Màn hình giải trí hiện đại | ✓ Điều hòa tiện nghi | ✓ Khoang nội thất tối ưu không gian sử dụng | ✓ Phù hợp di chuyển trong phố và các chuyến đi ngắn | Chi phí vận hành tiết kiệm | Tăng tốc mượt mà, dễ điều khiển | Thiết kế trẻ trung, cá tính, nhiều tùy chọn màu sắc | Hỗ trợ trả góp hấp dẫn | Thủ tục nhanh gọn – giao xe toàn quốc | Nhiều ưu đãi dành cho khách hàng đặt xe sớm | Liên hệ ngay để nhận báo giá tốt nhất và trải nghiệm VinFast VF 3 Plus 2026 – mẫu xe điện đang được quan tâm hàng đầu tại Việt Nam!",oto_dien
bonbanh.com,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6844011,VinFast VF3 Plus 2026,296 Triệu,22/06/2026,Vinfast Minh Thanh Thủ Đức,"Lô D3 đường D1, KCN Cát Lái TP HCM",2026,Xe mới,0 Km,Hatchback,Xám,4 chỗ,"VF 3 Plus xám – Có sẵn xe, giao ngay toàn quốc! | Ưu đãi hấp dẫn lên tới 13%: | - 6% chương trình “Mãnh liệt vì tương lai xanh” | - 5% ưu đãi dành cho công an, quân đội | - 2% Chương trình Mùa hè rực rỡ | - Hệ thống trạm sạc phủ khắp 63 tỉnh thành | - Chính sách bảo hành dài hạn, an tâm sử dụng | - Cam kết hỗ trợ tận tâm: | ▪️ Có sẵn nhiều màu, đủ phiên bản | ▪️ Hỗ trợ thủ tục nhanh gọn từ A-Z | ▪️ Hỗ trợ đăng ký, đăng kiểm tận tình | ▪️ Tư vấn nhiệt tình như người nhà | Liên hệ ngay để nhận ưu đãi tốt nhất và giữ màu xe đẹp!",oto_dien
