Model,Dataset,R2,MAE (VND),RMSE (VND)
Ridge Regression,Oto,0.8074083416557043,859138180.2861112,1719938379.8641694
SVR,Oto,0.791608864381849,901586285.6028918,1804992641.26388
Random Forest,Oto,0.4714677213241403,1347966225.9820967,2696591310.970138
XGBoost,Oto,0.4977004405689862,1330751999.224175,2660792974.487167
LightGBM,Oto,0.37722388586568356,1414885870.3211625,2792092824.368826
Ridge Regression,Bike,0.13130984293894266,7657139.301120141,10905986.287513059
SVR,Bike,0.10443307965427995,7600964.646117775,10790281.682280324
Random Forest,Bike,0.005216743702010418,8249032.394086801,11467636.980498789
XGBoost,Bike,0.005505714956787755,8235937.137362638,11487636.440837733
LightGBM,Bike,0.008462671335795369,8230121.383116869,11460851.502065865
