Model,Dataset,R2,MAE (VND),RMSE (VND)
SVR,Oto,0.8452369565226251,742714499.7849419,1590460319.9738765
Ridge Regression,Oto,0.8032112486864402,873682480.309478,1739148825.5392299
XGBoost,Oto,0.5501218628601545,1351678527.4265642,2612027507.705599
Random Forest,Oto,0.49689928273736894,1346453617.280661,2652511323.762906
LightGBM,Oto,0.4609581793502986,1368682921.0566459,2698851955.656051
Ridge Regression,Bike,0.17149425090527204,7393995.723993027,10598026.105329577
SVR,Bike,0.17102577720254664,7385885.51842985,10705721.783072656
XGBoost,Bike,0.13447913296373237,7661991.697802195,10949542.431007365
Random Forest,Bike,0.005878509950165589,8254066.035885324,11466407.193214877
LightGBM,Bike,0.002612228291868246,8279960.154894572,11494216.534106554
